ID IRAS RA DEC Galactic LON LAT Vlsr Distance Distance_new Rgc Radius Tdust logLbol logM logLbol_new logM_new
1 I08303-4303 08:32:08.34 -43:13:54.0 G261.646-2.091 261.646 -2.091 14.3 2.3 2.35 9.0 0.32 30.0 3.800 2.400 3.819 2.419
2 I08448-4343 08:46:32.90 -43:54:35.9 G263.773-0.434 263.773 -0.434 3.7 0.7 1.22 8.4 0.15 25.0 3.000 1.600 3.483 2.083
3 I08470-4243 08:48:47.07 -42:54:31.0 G263.249+0.511 263.249 0.511 12.0 2.1 2.27 8.8 0.32 33.0 4.000 2.400 4.068 2.468
4 I09002-4732 09:01:54.24 -47:44:00.8 G268.420-0.848 268.42 -0.848 3.1 1.2 1.62 8.4 0.24 39.0 4.600 2.400 4.861 2.661
5 I09018-4816 09:03:32.84 -48:28:10.0 G269.153-1.131 269.153 -1.131 10.3 2.6 2.57 8.8 0.44 31.0 4.700 3.000 4.690 2.990
6 I09094-4803 09:11:07.29 -48:15:48.7 G269.850-0.063 269.85 -0.063 74.6 9.6 8.75 12.7 1.4 23.0 4.600 3.100 4.519 3.019
7 I10365-5803 10:38:32.46 -58:19:05.9 G286.208+0.171 286.208 0.171 -19.0 2.4 2.49 8.0 0.44 30.0 4.300 2.700 4.332 2.732
8 I11298-6155 11:32:05.70 -62:12:24.3 G293.827-0.746 293.827 -0.746 32.9 10.0 9.6 10.1 1.36 32.0 5.200 3.400 5.165 3.365
9 I11332-6258 11:35:31.81 -63:14:44.6 G294.511-1.622 294.511 -1.622 -15.4 1.9 1.4 7.7 0.28 30.0 3.700 2.100 3.435 1.835
10 I12320-6122 12:34:53.38 -61:39:46.9 G300.969+1.146 300.969 1.146 -42.5 3.43 4.17 7.2 1.0 44.6 5.610 3.036 5.780 3.206
11 I12326-6245 12:35:34.81 -63:02:32.1 G301.136-0.226 301.136 -0.226 -39.6 4.61 4.21 7.2 0.83 34.2 5.391 3.522 5.312 3.443
12 I12383-6128 12:41:17.32 -61:44:38.6 G301.731+1.104 301.731 1.104 -39.1 3.27 4.12 7.2 0.63 19.8 3.844 3.137 4.045 3.338
13 I12572-6316 13:00:24.43 -63:32:30.4 G303.931-0.687 303.931 -0.687 30.9 11.57 11.63 9.8 1.63 21.5 4.643 3.876 4.647 3.880
14 I13079-6218 13:11:14.16 -62:34:42.1 G305.209+0.206 305.209 0.206 -42.6 3.8 3.11 6.9 1.09 28.2 5.139 3.527 4.965 3.353
15 I13080-6229 13:11:14.10 -62:45:01.9 G305.196+0.034 305.196 0.034 -35.6 3.8 2.68 6.9 1.03 34.1 5.125 3.201 4.822 2.898
16 I13111-6228 13:14:26.43 -62:44:24.1 G305.562+0.014 305.562 0.014 -38.8 3.8 2.97 6.9 0.96 30.0 4.833 3.096 4.619 2.882
17 I13134-6242 13:16:43.05 -62:58:30.1 G305.799-0.244 305.799 -0.244 -31.5 3.8 4.93 6.9 0.57 29.2 4.618 3.078 4.844 3.304
18 I13140-6226 13:17:15.70 -62:42:27.5 G305.887+0.016 305.887 0.016 -33.9 3.8 4.88 6.9 0.5 22.6 3.797 2.887 4.014 3.104
19 I13291-6229 13:32:32.38 -62:45:23.5 G307.616-0.259 307.616 -0.259 -36.5 2.9 2.66 7.0 0.55 28.8 4.327 2.699 4.252 2.624
20 I13291-6249 13:32:31.23 -63:05:21.8 G307.561-0.587 307.561 -0.587 -34.7 7.61 7.72 7.1 1.73 27.2 5.182 3.714 5.194 3.726
21 I13295-6152 13:32:53.49 -62:07:49.3 G307.756+0.353 307.756 0.353 -44.4 3.89 3.27 6.7 0.36 19.4 3.287 2.705 3.136 2.554
22 I13471-6120 13:50:42.10 -61:35:14.9 G309.921+0.477 309.921 0.477 -56.7 5.46 5.17 6.4 1.01 35.1 5.320 3.370 5.273 3.323
23 I13484-6100 13:51:58.64 -61:15:43.3 G310.144+0.759 310.144 0.759 -55.0 5.4 6.64 6.4 0.84 31.8 4.845 3.082 5.025 3.262
24 I14013-6105 14:04:54.56 -61:20:10.7 G311.626+0.289 311.626 0.289 -48.1 4.12 3.9 6.4 0.8 31.4 4.953 3.167 4.905 3.119
25 I14050-6056 14:08:42.15 -61:10:43.0 G312.108+0.309 312.108 0.309 -47.1 3.42 3.19 6.6 0.66 32.2 4.682 2.781 4.622 2.721
26 I14164-6028 14:20:08.23 -60:42:05.0 G313.576+0.324 313.576 0.324 -46.5 3.19 2.95 6.6 0.17 28.7 3.726 2.168 3.658 2.100
27 I14206-6151 14:24:22.81 -62:05:22.7 G313.576-1.154 313.576 -1.154 -50.0 3.29 3.19 6.5 0.37 27.3 3.658 2.409 3.631 2.382
28 I14212-6131 14:25:01.08 -61:44:59.4 G313.766-0.862 313.766 -0.862 -50.5 3.44 3.29 6.5 0.57 21.8 3.982 3.045 3.943 3.006
29 I14382-6017 14:42:02.76 -60:30:35.1 G316.139-0.506 316.139 -0.506 -60.7 7.69 7.75 6.0 1.68 28.0 5.198 3.646 5.205 3.653
30 I14498-5856 14:53:42.81 -59:08:56.5 G318.049+0.086 318.049 0.086 -49.3 3.16 2.99 6.4 0.74 26.7 4.428 3.010 4.380 2.962
31 I15122-5801 15:16:06.77 -58:11:40.5 G321.054-0.507 321.054 -0.507 -60.9 9.26 8.73 5.9 2.65 27.7 4.997 3.923 4.946 3.872
32 I15254-5621 15:29:19.48 -56:31:23.2 G323.459-0.079 323.459 -0.079 -67.3 4.0 4.42 5.7 0.89 33.5 5.074 3.106 5.161 3.193
33 I15290-5546 15:32:53.16 -55:56:06.8 G324.201+0.121 324.201 0.121 -87.5 6.76 7.94 4.9 1.8 33.5 5.679 3.770 5.819 3.910
34 I15384-5348 15:42:16.57 -53:58:31.3 G326.446+0.907 326.446 0.907 -41.0 1.82 2.41 6.9 0.54 33.9 4.565 2.498 4.809 2.742
35 I15394-5358 15:43:16.48 -54:07:16.9 G326.474+0.702 326.474 0.702 -41.6 1.82 2.38 6.9 0.46 20.7 3.733 2.926 3.966 3.159
36 I15411-5352 15:44:59.59 -54:02:21.4 G326.724+0.614 326.724 0.614 -41.5 1.82 2.41 6.9 0.57 30.5 4.545 2.686 4.789 2.930
37 I15437-5343 15:47:33.11 -53:52:43.9 G327.119+0.509 327.119 0.509 -83.0 4.98 5.16 5.0 0.77 29.6 4.595 3.018 4.626 3.049
